Country Name,Country Code,Year,Value
United States,USA,1960,180671000.0
United States,USA,1961,183691000.0
United States,USA,1962,186538000.0
United States,USA,1963,189242000.0
United States,USA,1964,191889000.0
United States,USA,1965,194303000.0
United States,USA,1966,196560000.0
United States,USA,1967,198712000.0
United States,USA,1968,200706000.0
United States,USA,1969,202677000.0
United States,USA,1970,205052000.0
United States,USA,1971,207661000.0
United States,USA,1972,209896000.0
United States,USA,1973,211909000.0
United States,USA,1974,213854000.0
United States,USA,1975,215973000.0
United States,USA,1976,218035000.0
United States,USA,1977,220239000.0
United States,USA,1978,222585000.0
United States,USA,1979,225055000.0
United States,USA,1980,227225000.0
United States,USA,1981,229466000.0
United States,USA,1982,231664000.0
United States,USA,1983,233792000.0
United States,USA,1984,235825000.0
United States,USA,1985,237924000.0
United States,USA,1986,240133000.0
United States,USA,1987,242289000.0
United States,USA,1988,244499000.0
United States,USA,1989,246819000.0
United States,USA,1990,249623000.0
United States,USA,1991,252981000.0
United States,USA,1992,256514000.0
United States,USA,1993,259919000.0
United States,USA,1994,263126000.0
United States,USA,1995,266278000.0
United States,USA,1996,269394000.0
United States,USA,1997,272657000.0
United States,USA,1998,275854000.0
United States,USA,1999,279040000.0
United States,USA,2000,282162411.0
United States,USA,2001,284968955.0
United States,USA,2002,287625193.0
United States,USA,2003,290107933.0
United States,USA,2004,292805298.0
United States,USA,2005,295516599.0
United States,USA,2006,298379912.0
United States,USA,2007,301231207.0
United States,USA,2008,304093966.0
United States,USA,2009,306771529.0
United States,USA,2010,309327143.0
United States,USA,2011,311583481.0
United States,USA,2012,313877662.0
United States,USA,2013,316059947.0
United States,USA,2014,318386329.0
United States,USA,2015,320738994.0
United States,USA,2016,323071755.0
United States,USA,2017,325122128.0
United States,USA,2018,326838199.0
United States,USA,2019,328329953.0
United States,USA,2020,331526933.0
United States,USA,2021,332048977.0
United States,USA,2022,333271411.0
United States,USA,2023,334914895.0
